Country,confirmed_cases,deaths
Brazil,9183,8
Canada,1435,0
Colombia,3298,0
France,4094,0
Germany,3662,0
Mexico,2654,0
Peru,3048,0
Spain,7317,2
England,3698,0
United States,28049,6
