date,Brazil,Canada,Colombia,France,Germany,Mexico,Peru,Spain,England,United States
2022/8/31,200,0,309,126,12,118,29,0,73,661
2022/9/1,183,0,0,11,13,0,33,0,0,309
2022/9/2,161,23,0,0,0,0,35,0,0,572
2022/9/3,160,38,0,0,0,0,15,0,0,476
2022/9/4,0,0,0,88,13,0,0,102,0,0
2022/9/5,0,0,0,0,0,0,0,0,0,0
2022/9/6,212,0,0,0,12,0,115,104,71,500
2022/9/7,116,0,356,74,6,0,63,0,0,0
2022/9/8,167,28,0,1,7,284,2,0,0,756
2022/9/9,34,0,0,0,0,0,34,0,0,667
2022/9/10,0,4,0,0,0,0,48,0,0,230
2022/9/11,245,0,0,64,12,0,0,143,0,0
2022/9/12,62,0,0,0,0,0,0,0,0,0
2022/9/13,0,0,0,0,17,0,129,55,68,0
2022/9/14,96,0,322,48,1,0,27,0,0,330
2022/9/15,117,17,0,0,0,262,25,0,0,645
2022/9/16,202,0,0,65,8,0,26,0,0,137
2022/9/17,201,25,0,0,0,0,39,0,0,341
2022/9/18,158,0,0,0,0,0,0,0,0,0
2022/9/19,62,0,0,0,7,0,0,90,0,0
2022/9/20,0,0,0,0,7,1,37,46,0,379
2022/9/21,150,0,393,45,15,316,0,0,33,704
2022/9/22,96,16,0,0,5,0,130,0,0,0
2022/9/23,90,0,0,0,7,0,30,0,0,157
2022/9/24,95,10,0,0,0,0,60,0,0,205
2022/9/25,118,0,0,0,0,0,0,0,0,0
2022/9/26,27,0,0,27,4,0,0,39,0,0
2022/9/27,0,0,0,0,6,0,112,27,50,588
2022/9/28,89,0,389,0,8,260,13,0,0,179
2022/9/29,90,7,0,29,6,0,13,0,0,161
2022/9/30,63,0,0,0,4,0,31,39,0,104
2022/10/1,117,0,0,0,0,0,41,0,0,0
2022/10/2,65,0,0,0,0,0,0,0,0,0
2022/10/3,0,0,0,0,0,0,0,0,0,0
2022/10/4,0,4,0,0,6,0,66,21,19,238
2022/10/5,160,0,411,0,0,341,0,0,0,922
2022/10/6,118,0,0,44,9,0,0,0,0,0
2022/10/7,60,6,0,0,5,0,0,0,0,0
2022/10/8,63,4,0,0,0,0,0,0,0,0
2022/10/9,70,0,0,0,0,0,0,0,0,0
2022/10/10,0,0,0,0,0,0,0,10,0,0
